      101      101
 -0.10000E+02  0.10000E+02 -0.10000E+02  0.10000E+02
  0.11593E+00  0.14957E-04  0.87551E-05  0.36961E-04  0.12714E-04
  0.54059E+06  0.23778E-04  0.33042E-05  0.46854E-04  0.66629E-05
  0.11339E-01  0.52740E-05  0.60902E-05  0.31475E-04  0.59279E-05
  0.66628E-01  0.13106E-04  0.18584E-04  0.63381E-04  0.32600E-05
  0.17829E+06  0.21237E-03  0.30457E-04  0.20223E-04  0.14888E-04
  0.54897E-01  0.44857E-05  0.27986E-04  0.41885E-04  0.10475E-04
  0.39585E-01  0.73544E-04  0.33485E-04  0.84043E-04  0.36345E-04
  0.10436E+07  0.38533E-04  0.23641E-04  0.11497E-04  0.78767E-05
  0.20496E+00  0.16907E-04  0.13543E-04  0.10682E-03  0.60891E-04
  0.59879E-01  0.29731E-05  0.28420E-04  0.30436E-04  0.37479E-04
  0.93900E-01  0.90813E-04  0.54352E-04  0.50050E-04  0.40396E-05
  0.66568E-01  0.16218E-04  0.68062E-05  0.19455E-04  0.81523E-04
  0.19775E-03  0.18026E-04  0.10278E-04  0.24982E-05  0.16412E-04
  0.72275E+06  0.77188E-04  0.25978E-04  0.45823E-04  0.10812E-03
  0.49956E-01  0.17238E-03  0.10049E-05  0.31251E-06  0.83857E-05
  0.25203E-01  0.67797E-05  0.53509E-04  0.69022E-04  0.14662E-04
  0.32904E+07  0.29687E-04  0.34958E-04  0.25932E-04  0.31644E-05
  0.18955E+00  0.11673E-04  0.58319E-04  0.22736E-04  0.10188E-05
  0.33798E-02  0.55600E-05  0.71543E-04  0.11156E-04  0.98849E-03
  0.43909E+06  0.18520E-04  0.10421E-03  0.57932E-05  0.56872E-04
  0.24694E+00
  0.11156E-04  0.60928E-04  0.20120E-04  0.82817E-05  0.20112E-05
  0.80809E-03  0.64896E-05  0.21844E-05  0.72990E-04  0.47720E-05
  0.10059E-04  0.87833E-04  0.15154E-04  0.28192E-05  0.18418E-05
  0.30791E-04  0.11979E-03  0.19905E-04  0.15050E-04  0.14615E-04
  0.46968E-03  0.54459E-04  0.16276E-04  0.57646E-04  0.88013E-05
  0.28269E-03  0.18235E-03  0.73632E-04  0.14235E-05  0.15781E-04
  0.19073E-04  0.82013E-04  0.11847E-03  0.29517E-04  0.19487E-04
  0.59306E-05  0.70765E-04  0.11895E-03  0.59203E-04  0.40331E-04
  0.16760E-03  0.15459E-03  0.23434E-04  0.51024E-04  0.17625E-04
  0.79826E-04  0.13807E-04  0.26659E-04  0.77348E-05  0.28136E-04
  0.64656E-04  0.40337E-04  0.37113E-04  0.35086E-04  0.74871E-05
  0.30785E-03  0.10459E-04  0.30303E-04  0.43390E-04  0.76763E-04
  0.15689E-04  0.10548E-03  0.73811E-04  0.49098E-05  0.25191E-04
  0.43919E-03  0.16814E-05  0.27709E-03  0.80199E-04  0.17970E-03
  0.11690E-03  0.39218E-04  0.96146E-04  0.42079E-04  0.14682E-03
  0.17201E-05  0.39766E-05  0.31168E-03  0.54838E-06  0.10967E-03
  0.73612E-03  0.42413E-04  0.22102E-04  0.15351E-04  0.96466E-04
  0.81899E-04  0.10449E-03  0.23350E-04  0.68319E-05  0.23801E-03
  0.24406E-04  0.21890E-04  0.25264E-05  0.19237E-04  0.12596E-03
  0.60444E-04  0.99409E-05  0.20805E-04  0.39469E-04  0.73427E-06
  0.11920E-03
  0.43296E-06  0.60321E-05  0.89803E-05  0.19310E-04  0.63678E-05
  0.64622E-04  0.22680E-05  0.52705E-04  0.50616E-05  0.15218E-05
  0.34618E-05  0.79487E-05  0.22848E-04  0.58781E-05  0.79709E-06
  0.15397E-04  0.33729E-06  0.18252E-04  0.39548E-05  0.10728E-04
  0.13678E-03  0.13276E-04  0.30112E-04  0.91261E-06  0.36293E-05
  0.20040E-03  0.43773E-04  0.14059E-04  0.76395E-05  0.10882E-04
  0.11465E-04  0.18874E-05  0.18202E-04  0.27510E-04  0.20322E-04
  0.68907E-04  0.65324E-05  0.48129E-05  0.10062E-04  0.97016E-05
  0.80364E-03  0.45702E-04  0.10545E-04  0.43318E-04  0.16104E-04
  0.36773E-04  0.14464E-04  0.74321E-04  0.76885E-05  0.30889E-04
  0.13672E-03  0.43014E-04  0.13583E-04  0.11418E-04  0.13216E-04
  0.63731E-03  0.22979E-04  0.18710E-04  0.92514E-05  0.52883E-04
  0.74411E-03  0.58509E-04  0.10713E-03  0.79381E-04  0.16260E-04
  0.14924E-03  0.29373E-04  0.99163E-04  0.12083E-03  0.84069E-04
  0.20093E-03  0.86057E-05  0.19966E-04  0.78937E-04  0.37829E-04
  0.11442E-03  0.17228E-04  0.83927E-05  0.39471E-05  0.21876E-04
  0.25527E-04  0.40527E-05  0.56251E-05  0.14103E-04  0.48368E-04
  0.11900E-03  0.17602E-04  0.28527E-04  0.79494E-04  0.79658E-04
  0.10008E-04  0.52744E-05  0.10244E-04  0.62271E-04  0.39553E-04
  0.17101E-03  0.13302E-04  0.47016E-04  0.24722E-04  0.42894E-05
  0.40019E-04
  0.24192E-04  0.26218E-04  0.48045E-05  0.29682E-02  0.50666E-04
  0.11349E-05  0.21810E-04  0.72762E-04  0.45130E-04  0.14696E-04
  0.10810E-04  0.43598E-04  0.42510E-04  0.92000E-04  0.89376E-05
  0.69403E-04  0.13231E-04  0.41685E-05  0.19637E-03  0.77404E-04
  0.74185E-03  0.15526E-05  0.10082E-04  0.86342E-04  0.40363E-04
  0.49435E-03  0.93606E-05  0.94620E-05  0.21007E-03  0.42411E-04
